No.,Units,Temperature
1,1.87406,325.0
2,1.87540,324.0
3,1.89620,309.0
4,1.91829,294.0
5,1.94178,279.0
6,1.96682,264.0
7,1.99356,249.0
8,2.02218,234.0
9,2.05289,219.0
10,2.08594,204.0
11,2.12165,189.0
12,2.16037,174.0
13,2.20256,159.0
14,2.24883,144.0
15,2.29995,129.0
16,2.35702,114.0
17,2.42162,99.0
18,2.49617,84.0
19,2.58455,69.0
20,2.65059,59.5
21,2.72676,50.1
22,2.76630,45.8
23,2.81702,40.8
24,2.86801,36.3
25,2.91867,32.3
26,2.96967,28.7
27,3.02049,25.5
28,3.07035,22.7
29,3.12040,20.2
30,3.17006,18.0
31,3.22122,16.0
32,3.27064,14.3
33,3.32022,12.8
34,3.36917,11.5
35,3.41627,10.4
36,3.46496,9.4
37,3.51501,8.5
38,3.56591,7.7
39,3.60914,7.1
40,3.65781,6.5
41,3.70353,6.0
42,3.75508,5.5
43,3.80151,5.1
44,3.85367,4.7
45,3.89741,4.4
46,3.94600,4.1
47,3.96344,4.0
