Sensor Model:   CX-1070-CU-HT-4L
Serial Number:  X166410
Interpolation Method:   Lagrangian
SetPoint Limit: 325.0      (Kelvin)
Data Format:    4      (Log Ohms/Kelvin)
Number of Breakpoints:   47

No.   Units      Temperature (K)

  1  1.97456       325.0
  2  1.97601       324.0
  3  1.99834       309.0
  4  2.02200       294.0
  5  2.04711       279.0
  6  2.07381       264.0
  7  2.10226       249.0
  8  2.13265       234.0
  9  2.16520       219.0
 10  2.20016       204.0
 11  2.23783       189.0
 12  2.27858       174.0
 13  2.32290       159.0
 14  2.37138       144.0
 15  2.42484       129.0
 16  2.48441       114.0
 17  2.55176        99.0
 18  2.62937        84.0
 19  2.72130        69.0
 20  2.78993        59.5
 21  2.86997        50.0
 22  2.91214        45.6
 23  2.96510        40.6
 24  3.01969        36.0
 25  3.07293        32.0
 26  3.12670        28.4
 27  3.18046        25.2
 28  3.23347        22.4
 29  3.28692        19.9
 30  3.34027        17.7
 31  3.39262        15.8
 32  3.44599        14.1
 33  3.49989        12.6
 34  3.55345        11.3
 35  3.60533        10.2
 36  3.65936         9.2
 37  3.70868         8.4
 38  3.75749         7.7
 39  3.81308         7.0
 40  3.85791         6.5
 41  3.90809         6.0
 42  3.95290         5.6
 43  4.00278         5.2
 44  4.05886         4.8
 45  4.10591         4.5
 46  4.17695         4.1
 47  4.19645         4.0
