Sensor Model:   CX-1070-CU-HT-4M
Serial Number:  X166521
Interpolation Method:   Lagrangian
SetPoint Limit: 420.0      (Kelvin)
Data Format:    4      (Log Ohms/Kelvin)
Number of Breakpoints:   60

No.   Units      Temperature (K)

  1  1.86848       420.0
  2  1.86954       419.0
  3  1.88587       404.0
  4  1.90301       389.0
  5  1.92103       374.0
  6  1.94000       359.0
  7  1.95999       344.0
  8  1.98109       329.0
  9  2.00340       314.0
 10  2.02701       299.0
 11  2.05204       284.0
 12  2.07864       269.0
 13  2.10695       254.0
 14  2.13715       239.0
 15  2.16946       224.0
 16  2.20413       209.0
 17  2.24146       194.0
 18  2.28181       179.0
 19  2.32563       164.0
 20  2.37346       149.0
 21  2.42608       134.0
 22  2.48452       119.0
 23  2.55026       104.0
 24  2.62552        89.0
 25  2.71381        74.0
 26  2.79774        62.0
 27  2.84576        56.0
 28  2.89902        50.0
 29  2.94114        45.7
 30  2.98842        41.3
 31  3.03334        37.5
 32  3.07882        34.0
 33  3.12459        30.8
 34  3.16864        28.0
 35  3.21361        25.4
 36  3.25946        23.0
 37  3.30384        20.9
 38  3.34828        19.0
 39  3.39236        17.3
 40  3.43548        15.8
 41  3.48022        14.4
 42  3.52289        13.2
 43  3.56639        12.1
 44  3.61050        11.1
 45  3.65482        10.2
 46  3.69882         9.4
 47  3.74171         8.7
 48  3.78247         8.1
 49  3.82772         7.5
 50  3.86959         7.0
 51  3.91603         6.5
 52  3.95711         6.1
 53  4.00238         5.7
 54  4.03955         5.4
 55  4.07998         5.1
 56  4.12421         4.8
 57  4.15615         4.6
 58  4.19036         4.4
 59  4.24663         4.1
 60  4.26687         4.0
