% Model,cables-simple.mph
% Version,COMSOL 5.5.0.359
% Date,"Sep 28 2023, 13:02"
% Table,Evaluation Group 1 -
% Twarm,contact (mm),"Temperature (K), Point: 1","Twarm, Point: 1","Tcold, Point: 1","T-Tcold (K), Point: 1","contact (cm), Point: 1"
5,4,4.0009492520180014,5,4,9.492520180014452E-4,0.4
5,5,4.000391389531935,5,4,3.9138953193518233E-4,0.5
5,6,4.000161477737915,5,4,1.614777379153054E-4,0.6
5,7,4.000066636104738,5,4,6.663610473811588E-5,0.7000000000000001
5,8,4.000027507029741,5,4,2.7507029741080657E-5,0.8
5,9.000000000000002,4.0000113573429115,5,4,1.1357342911466617E-5,0.9000000000000001
5,10,4.0000046905290825,5,4,4.690529082473915E-6,1
5,11,4.000001937706939,5,4,1.937706938903716E-6,1.0999999999999999
5,12,4.000000800739243,5,4,8.007392429121296E-7,1.2
5,13.000000000000002,4.000000330982336,5,4,3.309823357611208E-7,1.3
5,14,4.0000001368438465,5,4,1.3684384647660863E-7,1.4000000000000001
5,15,4.000000056598595,5,4,5.6598595143952934E-8,1.5
5,16,4.000000023416417,5,4,2.341641724967758E-8,1.6
5,17,4.0000000096910355,5,4,9.691035529613146E-9,1.7000000000000002
5,18.000000000000004,4.000000004012205,5,4,4.0122047906265834E-9,1.8000000000000003
5,19,4.000000001661745,5,4,1.6617454079437266E-9,1.9
5,20,4.0000000006884235,5,4,6.884235403958883E-10,2
6,4,4.002151684919516,6,4,0.002151684919516228,0.4
6,5,4.000887259301115,6,4,8.872593011153285E-4,0.5
6,6,4.000366085118402,6,4,3.6608511840174884E-4,0.6
6,7,4.000151077696898,6,4,1.5107769689759465E-4,0.7000000000000001
6,8,4.000062366790381,6,4,6.236679038096327E-5,0.8
6,9.000000000000002,4.000025751628701,6,4,2.575162870144254E-5,0.9000000000000001
6,10,4.000010635749614,6,4,1.0635749614351653E-5,1
6,11,4.00000439392915,6,4,4.393929150303677E-6,1.0999999999999999
6,12,4.000001815830801,6,4,1.8158308012772295E-6,1.2
6,13.000000000000002,4.000000750600623,6,4,7.506006234336837E-7,1.3
6,14,4.000000310348655,6,4,3.1034865521917254E-7,1.4000000000000001
6,15,4.000000128366353,6,4,1.283663531026491E-7,1.5
6,16,4.000000053111437,6,4,5.311143702613208E-8,1.6
6,17,4.000000021981719,6,4,2.1981718667518635E-8,1.7000000000000002
6,18.000000000000004,4.000000009101173,6,4,9.10117314845138E-9,1.8000000000000003
6,19,4.000000003769707,6,4,3.769707213052698E-9,1.9
6,20,4.000000001561807,6,4,1.5618066839806488E-9,2
7,4,4.003615528918114,7,4,0.003615528918113675,0.4
7,5,4.0014910674823385,7,4,0.001491067482338515,0.5
7,6,4.000615265700375,7,4,6.152657003752893E-4,0.6
7,7,4.000253925713958,7,4,2.5392571395776997E-4,0.7000000000000001
7,8,4.000104829253166,7,4,1.0482925316601666E-4,0.8
7,9.000000000000002,4.0000432868252265,7,4,4.328682522647398E-5,0.9000000000000001
7,10,4.000017878912993,7,4,1.7878912992763674E-5,1
7,11,4.000007386666241,7,4,7.386666241337991E-6,1.0999999999999999
7,12,4.000003052769173,7,4,3.052769172562364E-6,1.2
7,13.000000000000002,4.00000126197653,7,4,1.2619765303867325E-6,1.3
7,14,4.000000521815235,7,4,5.218152345776161E-7,1.4000000000000001
7,15,4.0000002158458114,7,4,2.1584581144651338E-7,1.5
7,16,4.00000008931133,7,4,8.931132988720947E-8,1.6
7,17,4.000000036966406,7,4,3.696640593631173E-8,1.7000000000000002
7,18.000000000000004,4.0000000153063695,7,4,1.5306369505196926E-8,1.8000000000000003
7,19,4.000000006340263,7,4,6.340263425386183E-9,1.9
7,20,4.000000002627013,7,4,2.627013273581724E-9,2
8,4,4.0053498218652,8,4,0.005349821865199722,0.4
8,5,4.002206622040816,8,4,0.0022066220408163417,0.5
8,6,4.000910611551029,8,4,9.106115510286727E-4,0.6
8,7,4.000375843641387,8,4,3.758436413869859E-4,0.7000000000000001
8,8,4.000155170658465,8,4,1.5517065846459843E-4,0.8
8,9.000000000000002,4.0000640779228815,8,4,6.407792288154468E-5,0.9000000000000001
8,10,4.00002646789539,8,4,2.6467895390069884E-5,1
8,11,4.000010935858704,8,4,1.093585870393099E-5,1.0999999999999999
8,12,4.000004519863791,8,4,4.519863790797274E-6,1.2
8,13.000000000000002,4.0000018685741985,8,4,1.86857419848252E-6,1.3
8,14,4.000000772688322,8,4,7.726883222147762E-7,1.4000000000000001
8,15,4.000000319639798,8,4,3.196397981852783E-7,1.5
8,16,4.000000132267878,8,4,1.3226787842768317E-7,1.6
8,17,4.000000054750347,8,4,5.4750347366905316E-8,1.7000000000000002
8,18.000000000000004,4.000000022671738,8,4,2.2671738264534724E-8,1.8000000000000003
8,19,4.0000000093919095,8,4,9.39190947235602E-9,1.9
8,20,4.000000003891737,8,4,3.891736710670557E-9,2
9,4,4.007364499764395,9,4,0.007364499764395127,0.4
9,5,4.003038119517699,9,4,0.003038119517698945,0.5
9,6,4.001253879433297,9,4,0.0012538794332970227,0.6
9,7,4.000517564206678,9,4,5.17564206678145E-4,0.7000000000000001
9,8,4.000213696278633,9,4,2.136962786334351E-4,0.8
9,9.000000000000002,4.0000882520759715,9,4,8.825207597151774E-5,0.9000000000000001
9,10,4.000036455669605,9,4,3.645566960486235E-5,1
9,11,4.000015063583518,9,4,1.5063583518326595E-5,1.0999999999999999
9,12,4.000006226320163,9,4,6.226320162561194E-6,1.2
9,13.000000000000002,4.000002574233691,9,4,2.5742336910994368E-6,1.3
9,14,4.0000010645704975,9,4,1.0645704975331682E-6,1.4000000000000001
9,15,4.000000440417512,9,4,4.404175122374454E-7,1.5
9,16,4.000000182260724,9,4,1.8226072384663894E-7,1.6
9,17,4.000000075450422,9,4,7.545042191026141E-8,1.7000000000000002
9,18.000000000000004,4.000000031246202,9,4,3.12462020701787E-8,1.8000000000000003
9,19,4.000000012945106,9,4,1.2945106320216837E-8,1.9
9,20,4.000000005364561,9,4,5.364561239673549E-9,2
10,4,4.009670458989469,10,4,0.009670458989469388,0.4
10,5,4.003990172878304,10,4,0.0039901728783036106,0.5
10,6,4.001647003137073,10,4,0.0016470031370729998,0.6
10,7,4.000679894765684,10,4,6.798947656836418E-4,0.7000000000000001
10,8,4.000280742736495,10,4,2.8074273649458803E-4,0.8
10,9.000000000000002,4.000115949589403,10,4,1.159495894027529E-4,0.9000000000000001
10,10,4.000047900722382,10,4,4.790072238236576E-5,1
10,11,4.000019794229596,10,4,1.9794229595859747E-5,1.0999999999999999
10,12,4.0000081823135964,10,4,8.18231359644983E-6,1.2
10,13.000000000000002,4.000003383201998,10,4,3.383201997664287E-6,1.3
10,14,4.000001399235219,10,4,1.399235219246009E-6,1.4000000000000001
10,15,4.000000578920065,10,4,5.789200647754456E-7,1.5
10,16,4.000000239599598,10,4,2.3959959793984353E-7,1.6
10,17,4.000000099196206,10,4,9.919620591603007E-8,1.7000000000000002
10,18.000000000000004,4.000000041083963,10,4,4.1083962898369464E-8,1.8000000000000003
10,19,4.000000017022523,10,4,1.7022522946774643E-8,1.9
10,20,4.000000007054996,10,4,7.054995698752009E-9,2
11,4,4.012279540766894,11,4,0.01227954076689386,0.4
11,5,4.005067806981277,11,4,0.005067806981276846,0.5
11,6,4.002092091445237,11,4,0.002092091445237365,0.6
11,7,4.000863716295549,11,4,8.63716295548933E-4,0.7000000000000001
11,8,4.000356677527396,11,4,3.566775273959877E-4,0.8
11,9.000000000000002,4.000147323703895,11,4,1.4732370389491933E-4,0.9000000000000001
11,10,4.000060866960889,11,4,6.086696088924981E-5,1
11,11,4.000025154458184,11,4,2.5154458183962447E-5,1.0999999999999999
11,12,4.000010398972414,11,4,1.0398972413838692E-5,1.2
11,13.000000000000002,4.000004300126069,11,4,4.30012606855712E-6,1.3
11,14,4.000001778623848,11,4,1.7786238482031536E-6,1.4000000000000001
11,15,4.000000735958935,11,4,7.359589346833673E-7,1.5
11,16,4.000000304623944,11,4,3.0462394384755953E-7,1.6
11,17,4.000000126129778,11,4,1.2612977773329703E-7,1.7000000000000002
11,18.000000000000004,4.000000052244552,11,4,5.2244551795865846E-8,1.8000000000000003
11,19,4.000000021649151,11,4,2.164915091640296E-8,1.9
11,20,4.000000008973544,11,4,8.973543685897312E-9,2
12,4,4.0152039366534975,12,4,0.015203936653497507,0.4
12,5,4.006276215484858,12,4,0.0062762154848581275,0.5
12,6,4.002591328516324,12,4,0.002591328516324154,0.6
12,7,4.001069942502157,12,4,0.0010699425021574172,0.7000000000000001
12,8,4.000441882201281,12,4,4.41882201281274E-4,0.8
12,9.000000000000002,4.000182533669056,12,4,1.8253366905618407E-4,0.9000000000000001
12,10,4.0000754208569935,12,4,7.542085699352441E-5,1
12,11,4.00003117202457,12,4,3.117202456959234E-5,1.0999999999999999
12,12,4.000012887891692,12,4,1.2887891691626407E-5,1.2
12,13.000000000000002,4.00000532985198,12,4,5.329851980206968E-6,1.3
12,14,4.0000022047627235,12,4,2.204762723501119E-6,1.4000000000000001
12,15,4.000000912381972,12,4,9.123819717515858E-7,1.5
12,16,4.0000003776887265,12,4,3.776887265161122E-7,1.6
12,17,4.00000015639979,12,4,1.5639979000781068E-7,1.7000000000000002
12,18.000000000000004,4.000000064790266,12,4,6.479026559702561E-8,1.8000000000000003
12,19,4.000000026851103,12,4,2.685110267464097E-8,1.9
12,20,4.000000011131099,12,4,1.1131098709427079E-8,2
13,4,4.018455549547609,13,4,0.01845554954760864,0.4
13,5,4.007620498668122,13,4,0.007620498668122089,0.5
13,6,4.003146865812707,13,4,0.003146865812706956,0.6
13,7,4.001299475197998,13,4,0.0012994751979977792,0.7000000000000001
13,8,4.000536733922739,13,4,5.367339227388968E-4,0.8
13,9.000000000000002,4.0002217371209055,13,4,2.2173712090545195E-4,0.9000000000000001
13,10,4.0000916282954995,13,4,9.162829549946849E-5,1
13,11,4.000037874474558,13,4,3.7874474558385884E-5,1.0999999999999999
13,12,4.000015660593734,13,4,1.566059373381279E-5,1.2
13,13.000000000000002,4.00000647720167,13,4,6.477201670129773E-6,1.3
13,14,4.000002679670744,13,4,2.6796707439658007E-6,1.4000000000000001
13,15,4.000001109035023,13,4,1.1090350229281398E-6,1.5
13,16,4.000000459148583,13,4,4.591485831539899E-7,1.6
13,17,4.000000190155001,13,4,1.9015500107855132E-7,1.7000000000000002
13,18.000000000000004,4.000000078783554,13,4,7.878355390289471E-8,1.8000000000000003
13,19,4.000000032654568,13,4,3.265456793855037E-8,1.9
13,20,4.000000013538728,13,4,1.3538728360629193E-8,2
14,4,4.022045892188677,14,4,0.02204589218867703,0.4
14,5,4.009105622934595,14,4,0.009105622934595381,0.5
14,6,4.003760805563555,14,4,0.0037608055635551807,0.6
14,7,4.0015531974830685,14,4,0.0015531974830684803,0.7000000000000001
14,8,4.000641602645017,14,4,6.416026450173362E-4,0.8
14,9.000000000000002,4.000265088907975,14,4,2.650889079749419E-4,0.9000000000000001
14,10,4.000109554085923,14,4,1.0955408592305815E-4,1
14,11,4.000045288941298,14,4,4.5288941297627616E-5,1.0999999999999999
14,12,4.000018728443541,14,4,1.872844354089409E-5,1.2
14,13.000000000000002,4.000007746937693,14,4,7.746937693120515E-6,1.3
14,14,4.0000032053446795,14,4,3.2053446794577667E-6,1.4000000000000001
14,15,4.000001326755816,14,4,1.3267558163221338E-6,1.5
14,16,4.00000054935504,14,4,5.493550396806768E-7,1.6
14,17,4.000000227543124,14,4,2.275431238984993E-7,1.7000000000000002
14,18.000000000000004,4.000000094286488,14,4,9.428648795051231E-8,1.8000000000000003
14,19,4.000000039085711,14,4,3.908571066801869E-8,1.9
14,20,4.000000016207453,14,4,1.6207453157335294E-8,2
15,4,4.025986023659748,15,4,0.02598602365974756,0.4
15,5,4.010736395856852,15,4,0.010736395856851821,0.5
15,6,4.0044351906006135,15,4,0.004435190600613481,0.6
15,7,4.001831969541338,15,4,0.0018319695413380188,0.7000000000000001
15,8,4.000756849357451,15,4,7.568493574510171E-4,0.8
15,9.000000000000002,4.000312740358349,15,4,3.1274035834893965E-4,0.9000000000000001
15,10,4.0001292616554025,15,4,1.2926165540250167E-4,1
15,11,4.000053442016439,15,4,5.3442016438864925E-5,1.0999999999999999
15,12,4.000022102594722,15,4,2.210259472157361E-5,1.2
15,13.000000000000002,4.000009143740509,15,4,9.14374050875466E-6,1.3
15,14,4.000003783749779,15,4,3.7837497792736485E-6,1.4000000000000001
15,15,4.00000156636995,15,4,1.5663699501899941E-6,1.5
15,16,4.000000648655282,15,4,6.486552823758984E-7,1.6
15,17,4.000000268710119,15,4,2.6871011904461284E-7,1.7000000000000002
15,18.000000000000004,4.000000111360527,15,4,1.113605270219864E-7,1.8000000000000003
15,19,4.000000046170397,15,4,4.6170397283162856E-8,1.9
15,20,4.0000000191481035,15,4,1.9148103547195205E-8,2
16,4,4.030286468443111,16,4,0.030286468443111225,0.4
16,5,4.012517433830054,16,4,0.012517433830054436,0.5
16,6,4.00517199109238,16,4,0.0051719910923804235,0.6
16,7,4.002136623139362,16,4,0.002136623139361582,0.7000000000000001
16,8,4.000882823790654,16,4,8.828237906541858E-4,0.8
16,9.000000000000002,4.00036483831981,16,4,3.648383198102678E-4,0.9000000000000001
16,10,4.0001508126467815,16,4,1.508126467815174E-4,1
16,11,4.000062359581836,16,4,6.235958183609114E-5,1.0999999999999999
16,12,4.000025793918849,16,4,2.5793918848826536E-5,1.2
16,13.000000000000002,4.000010672178939,16,4,1.0672178938797572E-5,1.3
16,14,4.000004416807017,16,4,4.416807017015856E-6,1.4000000000000001
16,15,4.000001828685726,16,4,1.828685726401602E-6,1.5
16,16,4.000000757389493,16,4,7.573894933443626E-7,1.6
16,17,4.00000031379934,16,4,3.137993402901884E-7,1.7000000000000002
16,18.000000000000004,4.000000130066068,16,4,1.30066068138035E-7,1.8000000000000003
16,19,4.000000053934106,16,4,5.393410607013038E-8,1.9
16,20,4.0000000223715055,16,4,2.237150553696665E-8,2
17,4,4.034957118894787,17,4,0.03495711889478681,0.4
17,5,4.014453122634847,17,4,0.014453122634846771,0.5
17,6,4.005973088292242,17,4,0.005973088292241968,0.6
17,7,4.0024679548746835,17,4,0.0024679548746835422,0.7000000000000001
17,8,4.001019861598688,17,4,0.0010198615986878323,0.8
17,9.000000000000002,4.0004215239815,17,4,4.2152398150019366E-4,0.9000000000000001
17,10,4.000174266425439,17,4,1.7426642543938442E-4,1
17,11,4.000072066602817,17,4,7.206660281688926E-5,1.0999999999999999
17,12,4.000029812918694,17,4,2.9812918693750134E-5,1.2
17,13.000000000000002,4.000012336673612,17,4,1.2336673611557103E-5,1.3
17,14,4.00000510637819,17,4,5.1063781896232285E-6,1.4000000000000001
17,15,4.000002114487638,17,4,2.1144876383161204E-6,1.5
17,16,4.0000008758885075,17,4,8.75888507501088E-7,1.6
17,17,4.000000362950352,17,4,3.62950352439384E-7,1.7000000000000002
17,18.000000000000004,4.000000150462092,17,4,1.5046209167479674E-7,1.8000000000000003
17,19,4.000000062401731,17,4,6.240173089366863E-8,1.9
17,20,4.000000025888141,17,4,2.5888141408358933E-8,2
18,4,4.04000712204739,18,4,0.0400071220473901,0.4
18,5,4.016547571220138,18,4,0.016547571220137947,0.5
18,6,4.006840255418871,18,4,0.006840255418871344,0.6
18,7,4.002826718220156,18,4,0.0028267182201560104,0.7000000000000001
18,8,4.001168281037098,18,4,0.0011682810370983177,0.8
18,9.000000000000002,4.000482931484879,18,4,4.8293148487932314E-4,0.9000000000000001
18,10,4.000199679497816,18,4,1.9967949781563021E-4,1
18,11,4.000082586884749,18,4,8.258688474871434E-5,1.0999999999999999
18,12,4.000034169626369,18,4,3.4169626369262573E-5,1.2
18,13.000000000000002,4.000014141454408,18,4,1.4141454408367338E-5,1.3
18,14,4.000005854247796,18,4,5.8542477958667405E-6,1.4000000000000001
18,15,4.000002424528895,18,4,2.4245288949842347E-6,1.5
18,16,4.000001004470475,18,4,1.0044704747969035E-6,1.6
18,17,4.000000416297607,18,4,4.162976070531954E-7,1.7000000000000002
18,18.000000000000004,4.000000172605415,18,4,1.7260541529395823E-7,1.8000000000000003
18,19,4.000000071597343,18,4,7.15973431653083E-8,1.9
18,20,4.000000029708235,18,4,2.970823498316122E-8,2
19,4,4.045444751699439,19,4,0.0454447516994394,0.4
19,5,4.018804559025306,19,4,0.01880455902530631,0.5
19,6,4.007775135788571,19,4,0.007775135788571141,0.6
19,7,4.003213614412002,19,4,0.003213614412001853,0.7000000000000001
19,8,4.001328379156584,19,4,0.0013283791565843472,0.8
19,9.000000000000002,4.000549186331559,19,4,5.491863315594259E-4,0.9000000000000001
19,10,4.000227104845055,19,4,2.2710484505505946E-4,1
19,11,4.0000939427939,19,4,9.394279390040339E-5,1.0999999999999999
19,12,4.00003887348607,19,4,3.887348607012342E-5,1.2
19,13.000000000000002,4.000016090511277,19,4,1.6090511277155883E-5,1.3
19,14,4.000006662102508,19,4,6.662102507881684E-6,1.4000000000000001
19,15,4.000002759523008,19,4,2.7595230083221622E-6,1.5
19,16,4.000001143437247,19,4,1.1434372471086363E-6,1.6
19,17,4.0000004739689485,19,4,4.7396894853335425E-7,1.7000000000000002
19,18.000000000000004,4.000000196550205,19,4,1.965502045564449E-7,1.8000000000000003
19,19,4.000000081543912,19,4,8.154391206716127E-8,1.9
19,20,4.0000000338415145,19,4,3.3841514479604484E-8,2
